"graminoid","sla","leafn","lop","ldmc","srl","rdmc","rootdiam","veg","c4","block","trt","year","Treatments","subplot","drought"
0.839124,-0.748644071421909,-0.257932353949572,-0.742038520731875,0.676636681533055,-0.0614853638456951,0.440508156103778,-0.131833043955564,0.150091,0.300299,"1","dt ","0",NA,NA,NA
0.826147173852826,0.166344033241214,-0.745253398567401,-0.742034460081851,0.67663159088629,0.333176572107502,0.484257351225033,-0.681319201631618,0.06995593004407,0.682361317638682,"10","dt ","0",NA,NA,NA
0.874060874060874,-0.654109636904576,-0.417881942970313,-0.742037027228958,0.676635110135104,-0.259226779816215,0.262312333280132,0.0222614303940899,0.040975040975041,0.315846315846316,"11","dt ","0",NA,NA,NA
0.818572818572819,0.0536213810017122,-0.688033842992868,-0.742037680345214,0.676636444804004,0.347306814486971,0.519971135699213,-0.547328913953027,0.177512177512178,0.522141522141522,"12","dt ","0",NA,NA,NA
0.838648,-0.740365666723328,-0.368343163033712,-0.742035672050956,0.676635214935525,0.110575944033705,0.273909886723097,-0.260456199747588,0.086186,0.256375,"13","dt ","0",NA,NA,NA
0.807217807217807,-0.102174163056969,-0.690508689985979,-0.742037575696494,0.676635945408456,0.578588314821274,0.479355079372597,-0.751690469771501,0.180875180875181,0.471730471730472,"14","dt ","0",NA,NA,NA
0.798615,-0.105815854023822,-0.658628453483698,-0.742036276345149,0.676634202353314,0.0657253590372817,0.658156989490423,-0.455191369877408,0.045232,0.55472,"15","dt ","0",NA,NA,NA
0.865704,-0.7567187068087,-0.397624854357485,-0.742034642015353,0.676633996596596,-0.35084374710984,0.352888728594917,0.119852857756101,0.059483,0.217768,"16","dt ","0",NA,NA,NA
0.826441347117306,-0.429170748527326,-0.558939921264487,-0.742035602159964,0.676632795042904,0.614999604731665,0.250975563164835,-0.593265263402777,0.0380789238421523,0.354429291141418,"17","dt ","0",NA,NA,NA
0.82019017980982,-0.153029019553072,-0.67630555317609,-0.742035076815801,0.67663387579686,0.0837823237125249,0.602875440136248,-0.443401019854462,0.0435189564810435,0.477980522019478,"18","dt ","0",NA,NA,NA
0.807331192668807,-0.250062158058325,-0.55862303480355,-0.742035253763143,0.676633025297022,-0.0490836797559775,0.843253364862981,-0.474725433303812,0.0733499266500734,0.500631499368501,"19","dt ","0",NA,NA,NA
0.844229,-0.0171317923618871,-0.639245543739648,-0.742036850356451,0.676633947455274,0.56031215938411,0.38429118117148,-0.795723320808892,0.201754,0.42908,"2","dt ","0",NA,NA,NA
0.794788,-0.358569239907129,-0.783810690342842,-0.742036209201821,0.676631228422881,0.217935999036504,0.5513768333955,-0.507362262778729,0.040246,0.477313,"20","dt ","0",NA,NA,NA
0.837683324633351,-0.439596146119719,-0.695207553895028,-0.742035670175773,0.676631537733014,0.660353738211479,0.331430810354166,-0.600841370750645,0.051004897990204,0.449007101985796,"21","dt ","0",NA,NA,NA
0.799907,-0.129530515329637,-0.810439558122625,-0.742037385899825,0.676633391711561,0.149889808964619,0.658317285260126,-0.432116623730183,0.119368,0.485202,"22","dt ","0",NA,NA,NA
0.863172136827863,-0.821975209349445,-0.208116817730598,-0.742037137551793,0.676633935263873,-0.432950129133634,0.261534504259597,0.101785874991735,0.0222349777650222,0.185653814346186,"23","dt ","0",NA,NA,NA
0.93897,-0.187709363453349,-0.520012757673116,-0.742038013471465,0.676633519806267,-0.141796531959184,0.288330775163293,0.00774627528609429,0.08235,0.620854,"24","dt ","0",NA,NA,NA
